shop_id,price_listed,sold,date_listed,date_sold,seller_id,level,damage,HP_points,mana_points,card_id
70,20,1,2025-06-12 13:27:55,2025-06-12 15:04:07,1,2,4,5,3,35
71,45,1,2025-06-12 13:28:07,2025-06-12 14:56:06,1,3,7,9,6,39
72,15,1,2025-06-12 13:30:51,2025-06-12 14:55:50,7,1,7,8,7,7
73,14,1,2025-06-12 13:35:34,2025-06-12 16:52:16,1,1,5,6,5,28
74,45,0,2025-06-12 13:35:41,1000-01-01 00:00:00,1,3,8,9,7,9
75,20,0,2025-06-12 13:35:49,1000-01-01 00:00:00,1,2,5,4,4,14
76,20,1,2025-06-12 13:35:58,2025-06-12 14:56:06,1,1,5,8,6,37
77,10,1,2025-06-12 13:36:04,2025-06-12 14:55:59,1,1,4,2,3,19
78,15,1,2025-06-12 14:48:49,2025-06-12 14:55:41,1,1,5,7,5,43
79,20,1,2025-06-12 14:54:21,2025-06-12 14:55:39,1,2,4,5,3,35
80,20,1,2025-06-12 14:54:29,2025-06-12 14:55:47,1,1,4,3,4,13
81,30,1,2025-06-12 14:54:36,2025-06-12 14:55:48,1,3,6,5,4,12
82,25,1,2025-06-12 14:54:43,2025-06-12 16:52:14,1,3,3,4,3,18
83,10,1,2025-06-12 14:54:54,2025-06-12 14:55:35,1,2,5,4,3,20
84,22,1,2025-06-12 14:56:23,2025-06-12 15:03:30,5,3,7,9,6,39
85,31,0,2025-06-12 15:03:23,1000-01-01 00:00:00,1,3,6,5,4,12
86,44,1,2025-06-12 15:03:40,2025-06-12 15:04:01,1,3,7,9,6,39
87,23,1,2025-06-12 15:13:38,2025-06-12 16:11:44,7,3,7,9,6,27
88,14,0,2025-06-12 15:13:46,1000-01-01 00:00:00,7,2,6,6,5,29
89,15,0,2025-06-12 16:11:38,1000-01-01 00:00:00,1,2,4,5,3,35
90,25,1,2025-06-12 16:26:37,2025-06-12 16:52:08,1,3,6,5,4,12
91,17,0,2025-06-12 16:26:44,1000-01-01 00:00:00,1,2,5,4,4,14
92,27,0,2025-06-12 16:26:51,1000-01-01 00:00:00,1,3,6,5,4,15
93,14,1,2025-06-12 16:26:59,2025-06-12 16:52:11,1,2,5,4,3,20
94,11,1,2025-06-12 16:27:04,2025-06-12 16:52:06,1,2,8,7,6,2
95,15,0,2025-06-12 16:52:36,1000-01-01 00:00:00,7,3,6,5,4,15
96,13,0,2025-06-12 16:52:44,1000-01-01 00:00:00,7,3,9,8,6,3
97,15,0,2025-06-12 16:52:51,1000-01-01 00:00:00,7,3,7,8,5,6
98,15,0,2025-06-12 16:53:01,1000-01-01 00:00:00,7,2,8,8,7,8
99,25,0,2025-06-12 16:53:08,1000-01-01 00:00:00,7,3,6,5,4,42
